"ASD","Amistad Airlines"
"ASH","Air South"
"ASI","Alpine Air Services Inc."
"ASN","Air Casino"
"ASP","Asap Air Inc."
"ASQ","Aerosur (1)"
"ASR","Astor Air"
"AST","Astro Airways"
"ASU","Air South (1)"
"ASW","Sunrise Airlines Inc."
"AT","Royal Air Maroc"
"ATH","Air Southeast"
"ATN","Air Atlantic Airlines Inc."
"ATO","Pacific National Airways"
"ATQ","Aero Tranportes Panamenos"
"ATS","Atlantis Airlines Inc."
"ATT","Aerotransit Inc."
"ATX","Air Carolina"
"AUX","Austin Express Inc."
"AV","Aerovias Nacl De Colombia"
"AVA","Air Vectors Airways"
"AVC","Av Center Inc."
"AVG","Airvantage"
"AVI","Aero Virgin Islands Corp."
"AVL","Aviation Sales"
"AVQ","Aero Laguna S.A. De C.V."
"AVR","Air Vermont Inc."
"AVS","Aviation Services"
"AVZ","Southern Jersey Airways"
"AWA","Air West Airlines"
"AWQ","Aermediterranea S.P.A."
"AX","Trans States Airlines"
"AXQ","Aeron International Airlines Inc."
"AY","Finnair Oy"
"AYQ","Aerodan S.A. De C.V."
"AZ","Compagnia Aerea Italiana"
"AZP","Arizona Pacific Airways"
"AZQ","Anglo Airlines Ltd."
"B0","Dreamjet SAS Dba La Compagnie"
"B6","JetBlue Airways"
"BA","British Airways Plc"
"BAA","Aero International Airlines"
"BAC","Business Aircraft Corp."
"BAH","Brennan & Hargreaves Inc."
"BAK","Bankair Inc."
"BAN","Bangor International Air"
"BAQ","Aero Rentas De Coahuila S.A. De C.V."
"BAR","Bard-Air Corp."
"BAT","West Penn Commuter"
"BAY","Burlington Aeroplane Co."
"BBQ","Balair Ag"
"BC","Skymark Airlines Inc."
"BCA","Baja Cortez Airlines"
"BCQ","Bradley Air Services Ltd."
"BD","British Midland Airways Ltd."
"BDE","Jet Express"
"BDQ","Aerotaxis De Aguascalientes S.A. De C.V."
"BE","Braniff International Airlines Inc."
"BEA","Business Express Airlines"
"BEN","Bennington Aviation Inc."
"BEQ","Air Belgium"
"BES","Aeroservices Executive"
"BEY","Beyer Aviation"
"BF","French bee"
"BF (1)","Markair Inc."
"BFG","Million Air"
"BFQ","Buffalo Airways Inc."
"BG","Biman Bangladesh Airlines"
"BGQ","Airbus Transport Internat'l"
"BHK","Blackhawk Airways Inc."
"BHO","Bighorn Airways Inc."
"BHQ","Turks Air Ltd. (1)"
"BIA","Big Island Air"
"BIQ","Servicios Aeronauticos Z S.A. De C.V."
"BIR","Birchwood Air Service"
"BJQ","Taxirey S.A. De C.V."
"BLQ","Air Bvi Limited"
"BM","Belize Air International Ltd."
"BMT","Bremerton Aviation Inc."
"BN","Britannia Airways GmbH"
"BN (1)","Braniff Inc."
"BNQ","NetJets Large Aircraft Company L.L.C."
"BOA","Boise Air Service"
"BOI","Bo-S-Aire Airlines Inc."
"BOQ","Transp. Aereos Bolivianos"
"BQ","Aeromar C. Por A."
"BR","Eva Airways Corporation"
"BR (1)","Cal Air International Ltd."
"BRK","Barken International"
"BRO","Brower Airways Inc."
"BRW","Barrow Air"
"BTQ","Brasair Transportes Aereos"
"BUH","Business Helicopters"
"BUQ","Wrangler Aviation Inc."
"BUQ (1)","Blue Bell Inc."
"BUR","Burlington Airways Inc."
"BW","Caribbean Airlines Limited"
"BX","Air Busan"
"BXQ","Spantax S. A."
"BY","Britannia Airways Ltd."
"BYA","Bay Air"
"BZQ","Abaco Air, Ltd."
"C5","Commutair Aka Champlain Enterprises, Inc."
"C6","Canjet Airlines"
"C8","Cargolux Italia SpA"
"C8 (1)","Chicago Express Airlines"
"CA","Air China"
"CAC","Coleman Air Transport"
"CAF","California Seaboard"
"CAI","Crawford Aviation Inc."
"CAM","C & M Airlines"
"CAP","Metro Air Northeast N Y"
"CAQ","Challenge Air Luftverkehrs GmbH"
"CAT","Catalina Airlines Inc."
"CAV","Air Virginia"
"CAZ","CAT Aviation"
"CB","Air One Inc."
"CBA","Carriba Air Inc."
"CC","Air Atlanta Icelandic"
"CC (1)","Air Atlanta Inc."
"CCA","Cityhop"
"CCO","Chester County Aviation"
"CDQ","Kitty Hawk International"
"CEN","Cen-Tex Airlines Inc."
"CEQ","All Canada Express"
"CET","Century Airlines (Cal)"
"CF","Compan. De Aviacion Faucett"
"CGA","Chicago Airlines"
"CGL","Viking International Airlines Inc."
"CGO","Chicago Air Taxi"
"CH","Bemidji Airlines"
"CHD","Chandler Flyer"
"CHE","Charter Airlines"
"CHF","Hammonds Commuter Air Serv."
"CHI","Chitina Air Service"
"CHL","Channel Flying Inc."
"CHO","Choi Aviation Inc."
"CHS","Christman Air System"
"CHT","Charter One"
"CI","China Airlines Ltd."
"CIQ","A/S Conair"
"CIS","Cal Sierra Airlines"
"CJ","Colgan Airways Inc."
"CK","China Cargo Airline"
"CKI","Inlet Airlines"
"CL","Capitol International Inc."
"CLB","Columbia Pacific Airlines"
"CLD","Hawaii Pacific Helicopters"
"CLF","California Air Shuttle"
"CLQ","Aero Transcolombiana"
"CM","Compania Panamena (Copa)"
"CMB","Combs Airways Inc."
"CMD","Command Airways Inc."
"CMQ","Servicio De Carga Aerea Sa"
"CMR","Commuter Airlines (Ca)"
"CNN","Centennial Airlines"
"CO","Continental Air Lines Inc."
"COB","Cotton Belt Aviation Inc."
"COC","Cochise Airlines Inc."
"COK","Coker Aviation Inc."
"COL","Presidential Express"
"COM","Commutair"
"COR","Coral Air Inc."
"COS","Cosmopolitan Comm. Airline"
"COT","Southeastern Commuter"
"COU","Courtesy Air Service Inc."
"CP","Compass Airlines"
"CP (1)","Canadian Airlines International Ltd."
"CPA","Capitol Air Lines"
"CPC","Coastal Plains Commuter Inc."
"CPQ","Capitol Air Express Inc."
"CPT","Capitol Air"
"CQI","Conquest Airline Corp."
"CRA","Commuter Airlines"
"CRB","Caribair"
"CRE","Caribbean Express Inc."
"CRH","Cresent Medivac"
"CRN","Crown Aviaiton Inc."
"CRO","Crown Airways Inc."
"CRP","Corporate Air"
"CRT","Crested Butte Air Service"
"CRV","Acropolis Aviation Ltd."
"CS","Continental Micronesia"
"CSA","Casino Airlines"
"CSK","Catskill Airways Inc."
"CSL","Central States Air Lines"
"CSM","Chisum Flying Service"
"CSN","Casino Airlines (1)"
"CSQ","Celtic Tech Jet Ltd."
"CTA","Century Airlines"
"CTH","Cothron Aviation"
"CTL","Coastal Air Transport"
"CTQ","Custom Air Transport"
"CTR","Chartair"
"CUQ","Caicos Caribbean Airways"
"CUS","Custom Air Service"
"CV","Cargolux Airlines International S.A"
"CVA","Catalina-Vegas Airlines"
"CVQ","Caraven S.A."
"CW","Air Marshall Islands Inc."
"CWQ","Canadian Aviation Express"
"CX","Cathay Pacific Airways Ltd."
"CYQ","Corse Air International"
"CZ","China Southern Airlines"
"CZ (1)","Cascade Airways Inc."
"CZQ","Aviation Concepts"
"D7","Air Asia X Berhad dba Airasia X"
"D8","Norwegian Air International Ltd."
"DA","Dan Air Services"
"DAN","Danbury Airlines"
"DAU","Dauphin Island Airways"
"DC","Caribbean Air Cargo Co Ltd."
"DE","Condor Flugdienst"
"DEA","Downeast Airlines Inc."
"DEC","Decatur Aviation"
"DFS","Downeast Flying Service"
"DH","Independence Air"
"DH (1)","Discovery Airways Inc."
"DHL","DHL Airlines Inc."
"DHQ","DHL Aero Expresso"
"DI","Norwegian Air UK Limited"
"DIA","Drummond Island Air"
"DIC","Dickman Aviation Services"
"DIR","Northern Star"
"DL","Delta Air Lines Inc."
"DM","Maersk Air I/S"
"DO","Compania Dominicana De Avia"
"DOL","Dolphin Airways Inc."
"DOQ","Aerolineas Dominicanas S A"
"DPA","Desert Pacific Airways"
"DPI","Desert Pacific Airlines Inc."
"DQQ","Caribwest Airways Ltd."
"DSA","Desert Sun Airlines"
"DST","Desert Airlines"
"DUL","Dulles Express"
"DUZ","Summit Airlines Inc."
"DVO","Devoe Airlines"
"DWN","Dawn Air"
"DXA","Dolphin Express"
"DY","Norwegian Air Shuttle ASA"
"E0","EOS Airlines, Inc."
"E7","Estafeta Carga Aereas"
"E72","European Aviation Air Charter"
"E8","USAfrica Airways Inc."
"E9","Evelop Airlines SL"
"E9 (1)","Boston-Maine Airways"
"EA","Eastern Air Lines Inc."
"EAI","Executive Aviation Inc."
"EAQ","Executive Airlines, SL"
"EAS","Eastern Caribbean Airways"
"EAT","Eastman Airways Inc."
"EBQ","Execaire Aviation Ltd."
"ECA","Eagle Airlines (1)"
"ECI","Eastern Carolina Aviation"
"ECL","Eclipse Airlines"
"ECQ","Trans American Charter"
"ECR","East Coast Airways"
"ED","Andes"
"EDE","Ede Aire"
"EE","Eastern Airlines Group Inc."
"EET","Exec Express II"
"EEX","Exec Express"
"EEZ","Eagle Aviation Inc."
"EFA","Executive Four Winds"
"EFQ","Trans Europ. Airways France"
"EGA","Eagle Airline"
"EGJ","Eagle Jet Charter"
"EGL","Eagle Commuter Airlines Inc."
"EH","Saeta Airlines"
"EHA","East Hampton Aire Inc."
"EI","Aer Lingus Plc"
"EIA","East. Indiana Aviation Sale"
"EJQ","Aeroejecutivos C.A."
"EK","Emirates"
"EKA","Air Pacific Inc."
"ELL","Ellis Air Taxi Inc."
"EM","Empire Airlines Inc."
"EMA","Emerald Airlines"
"EME","Metro Express"
"EMP","Empire Airlines Inc. (2)"
"ENT","Enterprise Airlines Inc."
"EOQ","Aeroservicios Ecuatorianos"
"EP","All Star Airlines Inc."
"EQ","Tame Linea Aerea del Ecuador Tme EP"
"ER","Astar USA, LLC"
"ERI","Erie Airways Inc."
"ERO","Empire Aero Service"
"ERQ","Aero Trades (Western) Ltd."
"ESQ","Seagreen Air Transport"
"ET","Ethiopian Airlines"
"EU","Ecuatoriana De Aviacion"
"EUQ","Air Atlanta Europe"
"EV","ExpressJet Airlines LLC"
"EVA","Evanston Aviation"
"EW","Eurowings GmbH"
"EWA","Rio Grande Air"
"EXA","Columbia Pacific Airlines (1)"
"EXC","Hapag-Lloyd Executive GmbH"
"EXC (1)","Executive Charter"
"EXP","Express Airlines II"
"EXQ","Export Air Del Peru S.A."
"EXR","Executive Transport"
"EY","Etihad Airways"
"EZ","Evergreen International Inc."
"F2","Omega Air Holdings d/b/a Focus Air"
"F8","Freedom Airlines d/b/a HP Expr"
"F9","Frontier Airlines Inc."
"FAA","Falwell Aviation Inc."
"FAC","Falcon Airways Inc."
"FAQ","Fast Air Carrier Ltd. (1)"
"FAR","Federal Armored Service Inc."
"FB","Translift Airways Limited"
"FBI","Young Flying Service"
"FCA","Southern Airlines Inc."
"FCQ","Falcon Air Express"
"FD","Air Puerto Rico Airlines"
"FDA","Florida Airlines Inc."
"FDM","Freedom Airlines Inc."
"FDQ","Great American Airways"
"FE","Primaris Airlines Inc."
"FF","Tower Air Inc."
"FFQ","Five Star Airlines"
"FH","Frontier Horizon Inc."
"FI","Icelandair"
"FJ","Air Pacific Ltd."
"FJ (1)","Air Pacific Ltd. (1)"
"FL","AirTran Airways Corporation"
"FL (1)","Frontier Airlines Inc. (1)"
"FLA","Florida Air"
"FLM","Flamenco Airways Inc."
"FLR","Flirite Inc."
"FNQ","Fine Airlines Inc."
"FOR","Ford-Aire Inc."
"FOS","Foster Aviation"
"FP","TAG Aviation S.A."
"FQ","Air Aruba"
"FRA","Freedom Air"
"FRS","Four Star Aviation"
"FRT","Frontier Commuter"
"FRW","Farwest Airlines"
"FS","Serv De Trans Aereos Fuegui"
"FSA","F.S. Air Service"
"FT","Flying Tiger Line Inc."
"FTI","Southern Airways"
"FVA","Skycraft Inc."
"FW","Skybus Inc."
"FWA","Far West Airlines"
"FX","Federal Express Corporation"
"FYB","Flying Boat"
"FYQ","Flying Group Lux S.A."
"G3","VRG Linhas Aereas S A"
"G3 (1)","Aerochago S.A."
"G4","Allegiant Air"
"G7","GoJet Airlines LLC d/b/a United Express"
"GA","P.T. Garuda Indonesian Arwy"
"GAL","Galena Air Service"
"GAQ","Galaxy Airlines Inc."
"GAS","General Aviation Inc."
"GAT","Gulf Air Taxi"
"GAV","Gromer Aviation Inc."
"GBA","Central States Airline"
"GBQ","G5 Executive Ag"
"GCA","Golden Carriage Aire"
"GCH","Grand Canyon Helicopters"
"GCQ","Glock Aviation GmbH"
"GCQ (1)","General Air Cargo"
"GCS","Midway Commuter"
"GD","Transp. Aereos Ejecutivos"
"GDW","Golden West Airlines Inc."
"GE","Lufthansa Cargo Airlines"
"GEQ","Gestair, S.A."
"GF","Gulf Air Company"
"GF (1)","Gulf Air Transport Inc."
"GFC","Gulf Flite Center"
"GFQ","Gulf And Caribbean Cargo"
"GG","Cargo 360, Inc."
"GG (1)","Tropical Airways Inc."
"GG (2)","Grenada Airways Ltd."
"GH","Ghana Airways Corporation"
"GHA","Green Hills Aviation Ltd."
"GIQ","Global International Airways Corp."
"GJ","Eurofly S.p.A"
"GJ (1)","Mexicargo"
"GKQ","Laker Airways"
"GL","Miami Air International"
"GLW","Golden West Airlines Co."
"GM","Air America"
"GMA","Green Mountain Airlines Ltd."
"GOF","Copper State Airlines"
"GPA","GP Express Airlines"
"GQ","Big Sky Airlines Inc."
"GR","Gemini Air Cargo Airways"
"GRA","Gorda Aero Service"
"GRD","Grand Canyon Airlines"
"GRO","Isle Royale Seaplane Serv."
"GS","Air Foyle Limited"
"GSA","Golden Gate Airlines Inc."
"GSC","GCS Air Service"
"GSL","Golden South Airlines Inc."
"GSQ","Global Supply System"
"GST","Golden State Airlines"
"GU","Aviateca, S.A."
"GU (1)","Aviateca"
"GUL","Gull Air Inc."
"GUN","Gunnel Aviation Inc."
"GV","Grant Aviation"
"GW","SkyGreece Airlines S A"
"GW (1)","Central American Airlines"
"GWA","Great Western Aviation"
"GWE","Ross Aviation Inc."
"GX","Air Ontario Limited"
"GY","Guyana Airways Corporation"
"H2","City Bird"
"H5","Magadan Airlines"
"H6","Hageland Aviation Service"
"HA","Hawaiian Airlines Inc."
"HAQ","Hapag Lloyd Flug."
"HAR","Friendship Air Alaska"
"HB","Homer Air"
"HB (1)","Air Club International"
"HBQ","Harris Air Services"
"HCQ","Av Atlantic"
"HEL","Helitrans"
"HEP","Hub Express"
"HER","Markair Express"
"HET","Helitac Aviation"
"HEU","Heussler Air Service Corp"
"HFQ","Haiti Air Freight Intl"
"HFS","Hensley Flying Service Inc."
"HIQ","Business Flights Ltd."
"HJ","Air Haiti S. A."
"HK","Time Air Sweden Ab"
"HLQ","Heavylift Cargo Airlines Lt"
"HMZ","Long Island Airlines"
"HNS","Haines Airways"
"HOL","Holiday Airlines Inc."
"HOQ","Holidair Airways"
"HOR","Iowa Airlines"
"HP","America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)"
"HPZ","Pacific Coast Airlines"
"HQ","Harmony Airways"
"HQ (1)","Business Express"
"HQQ","Harlequin Air Corporation"
"HRA","Trans-National Airlines Haw"
"HRG","Heritage Airlines"
"HRQ","Tar Airlines"
"HRZ","Allegheny Airlines"
"HSV","Harbor Air Service"
"HSZ","Scenic Airlines Inc."
"HU","Hainan Airlines Company Limited"
"HUB","Skystream Airlines"
"HVQ","Transavia Holland B. V."
"HWK","Hawking Corporation"
"HX","Hong Kong Airlines Limited"
"HX (1)","Guy-America Airways Inc."
"HY","Uzbekistan Airways"
"HYA","Hyannis Aviation"
"I4","Scott Air LLC dba Island Air Express"
"IA","Iraqi Airways"
"IB","Iberia Air Lines Of Spain"
"ICF","Iowa City Flying Service"
"ICH","Island Air Charters"
"ICQ","Iscargo Hf"
"IDQ","Intl Air Service Co. Ltd."
"IEX","Island Air Express"
"IFQ","FAI rent-a-jet AG"
"IG","Airitaly S.P.A."
"IGA","Global Jet Austria, GmbH"
"III","Idee Industries Inc."
"IJ","Great Wall Airlines Company Limited"
"IKQ","Tradewinds Airways Ltd."
"IMP","Imperial Airlines Inc."
"IN","Aerlinte Eireann Teoranta"
"INA","Inland Empire Airlines Inc."
"IND","Indiana Airways Inc. (Pa)"
"INQ","Independent Air Inc."
"IOW","Iowa Airways"
"IPI","Indo-Pacific International"
"IPQ","Aruba Cargo"
"IPS","Island Express"
"IR","Iran National Airlines Corp"
"IRQ","Interstate Airlines Inc."
"ISL","Island Airlines"
"ITQ","Interamericana De Aviacion"
"IW","Air Liberte Aka Aom Minerve"
"IW (1)","Best Airlines Inc."
"IXQ","Inair"
"J2","Azerbaijan Airlines CJSC"
